data,is_pii
"""jane.smith@email.com"", ""1234 Elm Street, Springfield"", ""Galaxy Edge Technologies"", ""847-123-4567""",TRUE
"Celestial Innovations, ""info@celestialinnovations.com"", 647-123-4567, 45 Twinkle Lane, Star City, 98765, Quantum Energy Solutions",TRUE
"""42 Willow Lane, Springfield"", ""michael.smith@email.com"", ""Quantum Leap Technologies"", ""123-456-7890""",TRUE
"""647-555-0198, Sunnyvale Park Drive, Galaxy Corp, Project Phoenix, 283B-ix92""",TRUE
"""michael.smith@example.com"", ""Golden Oak Tree"", ""9876-1234-5678-9101"", ""456 Elm Street, Springfield"", ""Green Energy Solutions""",TRUE
"""Example Company Ltd, 123 Elm Street, Springfield, 555-0123""",TRUE
"""Mountain Peak Coffee, 786-45-2109, 123 Elm Street, Springfield""",TRUE
"Jane.Smith@samplemail.com, Acme Innovations, 3427 Maple Ave, 555-012-3456, Quantum Computing Research, 6621-9328-4507-7576",TRUE
"Acme Innovations, 221B Baker Street, London, john.smith@example.com, Quantum Leap Technologies, 650-234-9876",TRUE
"""alice.smith@gmail.com, 456-78-9123, Sapphire Innovations, 1029 Evergreen Terrace, Springfield""",TRUE
"Sunnyvale Innovations  
contact@sunnyvale.com  
12345 Oakwood Drive  
987-65-4320",TRUE
"""454 Maple Avenue, Springfield, IL 62704""",TRUE
"""The sky is blue""",FALSE
"""example.user@gmail.com, Acme Innovations, 555-123-4567, Redwood Drive, California""",TRUE
"""Speedster Solutions, San Jose, CA""",FALSE
"Sunnyvale Electronics, 123 Elm Street, Springfield, email: jane.smith@example.com, Product ID: 456-789, Transaction ID: 9876543210",TRUE
"""alex.smith@example.com""  
""Sunset Valley Park""  
""555-0123""",TRUE
"""contact@randomdomain.com"", ""765-43-2109"", ""4321 Elm Street, Springfield"", ""GigaSpeed Router"", ""Supernova Energy Drink""",TRUE
"Sunnyvale Park, 45 Elm Street, Sunnyvale, CA 94086, ""contact@sunnyvaleparks.com""",TRUE
"""alice.smith@gmail.com, XYZ Innovations Corp, 4532 Willow Creek Drive, 987-65-4320""",TRUE
"Sunset Valley, 458 Sunrise Avenue, Apt 5B, Springfield, john.smith@example.com, Quantum Leap Consulting, 9876-5432-1098-7654",TRUE
"""Green Valley Park, Innovation Solutions, azure_widget_2023""",FALSE
"Blue Ocean Technologies, 456-789-0123, ""info@blueoceantech.com"", Quantum Innovations, 123 Main St, Springfield, IL 62704",TRUE
"""jane.smith@example.com""  
""Coffee House""  
""408 Maple Street, Springfield""  
""Unicorn Magic""  
""345-67-8901""",TRUE
"Blue Oak Technologies, 4567 Maple Drive, Springfield, IL 62704, info@blueoaktech.com, 555-123-4567",TRUE
"jane.smith@example.com, Quantum Computing Lab, 456 Oak Street, Springfield, 98765, 987-65-4321",TRUE
"""123 Maple Street, Springfield, 62704""",TRUE
"Alice Smith, 123 Elm Street, Springfield, IL 62704, alice.smith@example.com, 555-123-4567, Quantum Computing Innovations",TRUE
"Sunset Valley Apartments, 567 Maple Street, Springfield, IL, 62704, jane.smith@example.com, 555-234-7890, Quantum Energy Cells, Eco-Friendly Initiative",TRUE
"""linda.smith@example.com, Blue Ocean Ventures, 42 Sunset Blvd, San Francisco, CA 94101, 987-65-4320""",TRUE
"Skyline Innovations, info@skylineinnovations.com, 456 Maple Avenue, Springfield, 62704, Quantum Computing Breakthrough, 555-0167, 9988-1234-5678-4321",TRUE
"Alice.Smith@example.com, GreenField Solutions, 463-29-8390, The Quick Brown Fox, 742 Evergreen Terrace, Springfield, 9876-5432-1098-7654",TRUE
"""example.corp@domain.com"", ""678-90-1234"", ""Silver Oak Manor, Los Angeles"", ""Cloud Computing Solutions""",TRUE
"Blue Ocean Technologies, 1234 Elm Street, Springfield, IL, 62704, (555) 123-4567, jessica.smith@blueocean.com, Quantum Leap Innovators",TRUE
"""alice.smith@samplemail.com, Green Valley Park, 2398 Sunrise Blvd, Phone: 555-123-4567, Innovative Solutions Inc.""",TRUE
"Sunnyvale Gardens, Galaxy Innovations",FALSE
"""jane.smith@example.com, Acme Innovations, 555-0123, Quantum Leap Project""",TRUE
"Greenwood Avenue, Springfield, 62704; Blue Ocean Technologies, ""Innovate Your Tomorrow""",TRUE
"""jane.smith@mail.com"", ""Acme Technologies"", ""42 Maple Avenue, Springfield"", ""8745-0987-6543-2109""",TRUE
"""jane.smith@samplemail.com, Cloud Innovations, 555-0123, Green Valley Park""",TRUE
"Skyline Technologies, 3456 Elm Street, Springfield, contact@skyline-tech.com, 555-123-4567, Golden Ratio, 7462-1305-9087-6543",TRUE
"Sunnydale Park, 456 Elm Street, Springfield, IL 62704, john.smith@email.com",TRUE
"""234 Elm Street, Springfield, IL 62704""",TRUE
